CMDLINE c:\users\ty\appdata\local\programs\python\python37\python.exe chompyDriver.py
CHLD 6 135.390625 1570340028.3607
CHLD 7 376.402344 1570340028.3607
CHLD 8 88.593750 1570340028.3607
MEM 31.367188 1570340028.4988
CHLD 0 31.617188 1570340028.5068
CHLD 1 95.226562 1570340028.5068
CHLD 2 750.910156 1570340028.5068
CHLD 3 435.917969 1570340028.5068
CHLD 4 163.308594 1570340028.5068
CHLD 5 75.003906 1570340028.5068
CHLD 6 135.968750 1570340028.5068
CHLD 7 377.027344 1570340028.5068
CHLD 8 89.550781 1570340028.5068
MEM 31.367188 1570340028.6275
CHLD 0 31.617188 1570340028.6305
CHLD 1 95.796875 1570340028.6305
CHLD 2 750.910156 1570340028.6305
CHLD 3 436.566406 1570340028.6305
CHLD 4 163.820312 1570340028.6305
CHLD 5 76.234375 1570340028.6305
CHLD 6 136.578125 1570340028.6305
CHLD 7 377.652344 1570340028.6305
CHLD 8 90.753906 1570340028.6305
MEM 31.367188 1570340028.7517
CHLD 0 31.617188 1570340028.7556
CHLD 1 96.140625 1570340028.7556
CHLD 2 772.859375 1570340028.7556
CHLD 3 437.230469 1570340028.7556
CHLD 4 164.558594 1570340028.7556
CHLD 5 77.437500 1570340028.7556
CHLD 6 137.218750 1570340028.7556
CHLD 7 378.277344 1570340028.7556
CHLD 8 91.710938 1570340028.7556
MEM 31.367188 1570340028.8818
CHLD 0 31.617188 1570340028.8843
CHLD 1 96.808594 1570340028.8843
CHLD 2 808.808594 1570340028.8843
CHLD 3 437.980469 1570340028.8843
CHLD 4 165.183594 1570340028.8843
CHLD 5 78.640625 1570340028.8843
CHLD 6 137.953125 1570340028.8843
CHLD 7 379.089844 1570340028.8843
CHLD 8 92.890625 1570340028.8843
MEM 31.367188 1570340029.0060
CHLD 0 31.617188 1570340029.0100
CHLD 1 97.378906 1570340029.0100
CHLD 2 847.058594 1570340029.0100
CHLD 3 438.589844 1570340029.0100
CHLD 4 165.746094 1570340029.0100
CHLD 5 79.585938 1570340029.0100
CHLD 6 138.640625 1570340029.0100
CHLD 7 379.687500 1570340029.0100
CHLD 8 94.117188 1570340029.0100
MEM 31.367188 1570340029.1426
CHLD 0 31.617188 1570340029.1456
CHLD 1 98.265625 1570340029.1456
CHLD 2 885.312500 1570340029.1466
CHLD 3 439.292969 1570340029.1466
CHLD 4 166.496094 1570340029.1466
CHLD 5 81.062500 1570340029.1466
CHLD 6 139.222656 1570340029.1466
CHLD 7 380.527344 1570340029.1466
CHLD 8 95.320312 1570340029.1466
MEM 31.367188 1570340029.2728
CHLD 0 31.617188 1570340029.2758
CHLD 1 98.898438 1570340029.2758
CHLD 2 897.308594 1570340029.2758
CHLD 3 440.042969 1570340029.2758
CHLD 4 167.183594 1570340029.2758
CHLD 5 82.058594 1570340029.2758
CHLD 6 139.890625 1570340029.2758
CHLD 7 381.152344 1570340029.2758
CHLD 8 96.585938 1570340029.2758
MEM 31.367188 1570340029.4084
CHLD 0 31.617188 1570340029.4114
CHLD 1 99.449219 1570340029.4114
CHLD 2 897.308594 1570340029.4114
CHLD 3 440.980469 1570340029.4114
CHLD 4 167.808594 1570340029.4114
CHLD 5 83.296875 1570340029.4114
CHLD 6 140.703125 1570340029.4114
CHLD 7 381.839844 1570340029.4114
CHLD 8 97.437500 1570340029.4114
MEM 31.367188 1570340029.5476
CHLD 0 31.617188 1570340029.5505
CHLD 1 100.101562 1570340029.5505
CHLD 2 897.308594 1570340029.5505
CHLD 3 442.292969 1570340029.5505
CHLD 4 168.433594 1570340029.5505
CHLD 5 84.500000 1570340029.5505
CHLD 6 141.328125 1570340029.5505
CHLD 7 382.691406 1570340029.5505
CHLD 8 98.167969 1570340029.5505
MEM 31.367188 1570340029.6847
