CMDLINE c:\users\ty\appdata\local\programs\python\python37\python.exe chompyDriver.py
CHLD 2 116.738281 1570332467.0944
MEM 31.320312 1570332467.1950
CHLD 0 31.335938 1570332467.1970
CHLD 1 180.167969 1570332467.1970
CHLD 2 116.738281 1570332467.1970
MEM 31.320312 1570332467.2979
CHLD 0 31.335938 1570332467.3009
CHLD 1 181.621094 1570332467.3009
CHLD 2 116.738281 1570332467.3009
MEM 31.320312 1570332467.4016
CHLD 0 31.335938 1570332467.4036
CHLD 1 182.902344 1570332467.4036
CHLD 2 116.738281 1570332467.4036
MEM 31.320312 1570332467.5044
CHLD 0 31.335938 1570332467.5064
CHLD 1 184.152344 1570332467.5064
CHLD 2 116.738281 1570332467.5064
MEM 31.320312 1570332467.6066
CHLD 0 31.335938 1570332467.6086
CHLD 1 185.574219 1570332467.6086
CHLD 2 116.738281 1570332467.6086
MEM 31.320312 1570332467.7093
CHLD 0 31.335938 1570332467.7113
CHLD 1 186.886719 1570332467.7113
CHLD 2 116.738281 1570332467.7113
MEM 31.320312 1570332467.8120
CHLD 0 31.335938 1570332467.8140
CHLD 1 188.136719 1570332467.8140
CHLD 2 116.738281 1570332467.8140
MEM 31.320312 1570332467.9150
CHLD 0 31.335938 1570332467.9170
CHLD 1 189.574219 1570332467.9170
CHLD 2 116.738281 1570332467.9170
MEM 31.320312 1570332468.0178
CHLD 0 31.335938 1570332468.0198
CHLD 1 190.824219 1570332468.0198
CHLD 2 116.738281 1570332468.0198
MEM 31.320312 1570332468.1204
CHLD 0 31.335938 1570332468.1224
CHLD 1 192.144531 1570332468.1224
CHLD 2 116.738281 1570332468.1224
MEM 31.320312 1570332468.2227
CHLD 0 31.335938 1570332468.2247
CHLD 1 193.531250 1570332468.2247
CHLD 2 116.781250 1570332468.2247
MEM 31.320312 1570332468.3256
CHLD 0 31.335938 1570332468.3276
CHLD 1 194.816406 1570332468.3276
CHLD 2 116.781250 1570332468.3276
MEM 31.320312 1570332468.4282
CHLD 0 31.335938 1570332468.4302
CHLD 1 195.394531 1570332468.4302
CHLD 2 116.781250 1570332468.4302
MEM 31.320312 1570332468.5309
CHLD 0 31.335938 1570332468.5339
CHLD 1 195.957031 1570332468.5339
CHLD 2 116.781250 1570332468.5339
MEM 31.320312 1570332468.6347
CHLD 0 31.335938 1570332468.6367
CHLD 1 196.074219 1570332468.6367
CHLD 2 116.785156 1570332468.6367
MEM 31.320312 1570332468.7369
CHLD 0 31.335938 1570332468.7389
CHLD 1 196.269531 1570332468.7389
CHLD 2 116.785156 1570332468.7389
MEM 31.320312 1570332468.8390
CHLD 0 31.335938 1570332468.8409
CHLD 1 196.542969 1570332468.8409
CHLD 2 116.785156 1570332468.8409
MEM 31.320312 1570332468.9409
CHLD 0 31.335938 1570332468.9429
CHLD 1 196.914062 1570332468.9429
CHLD 2 116.785156 1570332468.9429
MEM 31.320312 1570332469.0436
CHLD 0 31.335938 1570332469.0456
CHLD 1 197.226562 1570332469.0456
CHLD 2 116.789062 1570332469.0456
MEM 31.320312 1570332469.1459
CHLD 0 31.335938 1570332469.1484
CHLD 1 197.468750 1570332469.1484
CHLD 2 116.796875 1570332469.1484
MEM 31.320312 1570332469.2492
CHLD 0 31.335938 1570332469.2512
CHLD 1 197.726562 1570332469.2512
CHLD 2 116.796875 1570332469.2512
MEM 31.320312 1570332469.3519
CHLD 0 31.335938 1570332469.3539
CHLD 1 198.101562 1570332469.3539
CHLD 2 116.796875 1570332469.3539
MEM 31.320312 1570332469.4547
CHLD 0 31.335938 1570332469.4567
CHLD 1 198.386719 1570332469.4567
CHLD 2 116.796875 1570332469.4567
MEM 31.320312 1570332469.5574
CHLD 0 31.335938 1570332469.5594
CHLD 1 198.574219 1570332469.5594
CHLD 2 116.796875 1570332469.5594
MEM 31.320312 1570332469.6601
CHLD 0 31.335938 1570332469.6621
CHLD 1 198.824219 1570332469.6621
CHLD 2 116.796875 1570332469.6621
MEM 31.320312 1570332469.7629
CHLD 0 31.335938 1570332469.7649
CHLD 1 198.980469 1570332469.7649
CHLD 2 116.847656 1570332469.7649
MEM 31.320312 1570332469.8650
CHLD 0 31.335938 1570332469.8670
CHLD 1 199.199219 1570332469.8670
CHLD 2 116.847656 1570332469.8670
MEM 31.320312 1570332469.9678
CHLD 0 31.335938 1570332469.9697
CHLD 1 199.386719 1570332469.9697
CHLD 2 116.847656 1570332469.9697
MEM 31.320312 1570332470.0705
CHLD 0 31.335938 1570332470.0725
CHLD 1 199.574219 1570332470.0725
CHLD 2 116.847656 1570332470.0725
MEM 31.320312 1570332470.1732
CHLD 0 31.335938 1570332470.1752
CHLD 1 199.738281 1570332470.1752
CHLD 2 116.847656 1570332470.1752
MEM 31.320312 1570332470.2759
CHLD 0 31.335938 1570332470.2779
CHLD 1 199.949219 1570332470.2779
