CMDLINE c:\users\ty\appdata\local\programs\python\python37\python.exe chompyDriver.py
CHLD 0 31.476562 1570332747.4614
CHLD 1 132.324219 1570332747.4614
CHLD 2 121.867188 1570332747.4614
MEM 31.421875 1570332747.5616
CHLD 0 31.476562 1570332747.5636
CHLD 1 133.156250 1570332747.5636
CHLD 2 121.867188 1570332747.5636
MEM 31.421875 1570332747.6644
CHLD 0 31.476562 1570332747.6664
CHLD 1 134.074219 1570332747.6664
CHLD 2 121.867188 1570332747.6664
MEM 31.421875 1570332747.7666
CHLD 0 31.476562 1570332747.7686
CHLD 1 134.933594 1570332747.7686
CHLD 2 121.867188 1570332747.7686
MEM 31.421875 1570332747.8688
CHLD 0 31.476562 1570332747.8708
CHLD 1 135.832031 1570332747.8708
CHLD 2 121.867188 1570332747.8708
MEM 31.421875 1570332747.9709
CHLD 0 31.476562 1570332747.9729
CHLD 1 136.765625 1570332747.9729
CHLD 2 121.867188 1570332747.9729
MEM 31.421875 1570332748.0732
CHLD 0 31.476562 1570332748.0752
CHLD 1 137.644531 1570332748.0762
CHLD 2 121.867188 1570332748.0762
MEM 31.421875 1570332748.1769
CHLD 0 31.476562 1570332748.1789
CHLD 1 138.578125 1570332748.1789
CHLD 2 121.867188 1570332748.1789
MEM 31.421875 1570332748.2796
CHLD 0 31.476562 1570332748.2816
CHLD 1 139.515625 1570332748.2816
CHLD 2 121.867188 1570332748.2816
MEM 31.421875 1570332748.3824
CHLD 0 31.476562 1570332748.3844
CHLD 1 140.515625 1570332748.3844
CHLD 2 121.867188 1570332748.3844
MEM 31.421875 1570332748.4847
CHLD 0 31.476562 1570332748.4867
CHLD 1 141.406250 1570332748.4867
CHLD 2 121.867188 1570332748.4867
MEM 31.421875 1570332748.5876
CHLD 0 31.476562 1570332748.5906
CHLD 1 142.398438 1570332748.5906
CHLD 2 121.867188 1570332748.5906
MEM 31.421875 1570332748.6908
CHLD 0 31.476562 1570332748.6928
CHLD 1 143.421875 1570332748.6928
CHLD 2 121.867188 1570332748.6928
MEM 31.421875 1570332748.7929
CHLD 0 31.476562 1570332748.7949
CHLD 1 144.406250 1570332748.7949
CHLD 2 121.867188 1570332748.7949
MEM 31.421875 1570332748.8949
CHLD 0 31.476562 1570332748.8969
CHLD 1 145.398438 1570332748.8969
CHLD 2 121.867188 1570332748.8969
MEM 31.421875 1570332748.9974
CHLD 0 31.476562 1570332749.0003
CHLD 1 146.445312 1570332749.0003
CHLD 2 121.867188 1570332749.0003
MEM 31.421875 1570332749.1008
CHLD 0 31.476562 1570332749.1028
CHLD 1 147.406250 1570332749.1028
CHLD 2 121.867188 1570332749.1028
MEM 31.421875 1570332749.2031
CHLD 0 31.476562 1570332749.2050
CHLD 1 148.433594 1570332749.2050
CHLD 2 121.867188 1570332749.2050
MEM 31.421875 1570332749.3058
CHLD 0 31.476562 1570332749.3077
CHLD 1 149.515625 1570332749.3077
CHLD 2 121.871094 1570332749.3077
MEM 31.421875 1570332749.4079
CHLD 0 31.476562 1570332749.4099
CHLD 1 150.515625 1570332749.4099
CHLD 2 121.871094 1570332749.4099
MEM 31.421875 1570332749.5105
CHLD 0 31.476562 1570332749.5125
CHLD 1 151.578125 1570332749.5125
CHLD 2 121.875000 1570332749.5125
MEM 31.421875 1570332749.6127
CHLD 0 31.476562 1570332749.6147
CHLD 1 152.578125 1570332749.6147
CHLD 2 121.875000 1570332749.6147
MEM 31.421875 1570332749.7148
CHLD 0 31.476562 1570332749.7168
CHLD 1 153.699219 1570332749.7168
CHLD 2 121.878906 1570332749.7168
MEM 31.421875 1570332749.8175
CHLD 0 31.476562 1570332749.8195
CHLD 1 154.765625 1570332749.8195
CHLD 2 121.878906 1570332749.8195
MEM 31.421875 1570332749.9195
CHLD 0 31.476562 1570332749.9215
CHLD 1 155.855469 1570332749.9215
CHLD 2 121.878906 1570332749.9215
MEM 31.421875 1570332750.0216
CHLD 0 31.476562 1570332750.0236
CHLD 1 156.890625 1570332750.0236
CHLD 2 121.878906 1570332750.0236
MEM 31.421875 1570332750.1236
CHLD 0 31.476562 1570332750.1256
CHLD 1 157.953125 1570332750.1256
CHLD 2 121.878906 1570332750.1256
MEM 31.421875 1570332750.2263
CHLD 0 31.476562 1570332750.2283
CHLD 1 159.015625 1570332750.2283
CHLD 2 121.878906 1570332750.2283
MEM 31.421875 1570332750.3290
CHLD 0 31.476562 1570332750.3310
CHLD 1 160.144531 1570332750.3310
CHLD 2 121.878906 1570332750.3310
MEM 31.421875 1570332750.4318
CHLD 0 31.476562 1570332750.4338
CHLD 1 160.765625 1570332750.4338
CHLD 2 121.878906 1570332750.4338
MEM 31.421875 1570332750.5357
CHLD 0 31.476562 1570332750.5377
CHLD 1 161.828125 1570332750.5377
CHLD 2 121.878906 1570332750.5377
MEM 31.421875 1570332750.6385
CHLD 0 31.476562 1570332750.6405
CHLD 1 163.015625 1570332750.6405
CHLD 2 121.878906 1570332750.6405
MEM 31.421875 1570332750.7407
CHLD 0 31.476562 1570332750.7427
CHLD 1 164.015625 1570332750.7427
CHLD 2 121.878906 1570332750.7427
MEM 31.421875 1570332750.8428
CHLD 0 31.476562 1570332750.8448
CHLD 1 165.191406 1570332750.8448
CHLD 2 121.878906 1570332750.8448
MEM 31.421875 1570332750.9449
CHLD 0 31.476562 1570332750.9469
CHLD 1 166.328125 1570332750.9469
CHLD 2 121.878906 1570332750.9469
MEM 31.421875 1570332751.0479
CHLD 0 31.476562 1570332751.0499
CHLD 1 167.402344 1570332751.0499
CHLD 2 121.878906 1570332751.0499
MEM 31.421875 1570332751.1500
CHLD 0 31.476562 1570332751.1520
CHLD 1 168.578125 1570332751.1520
CHLD 2 121.878906 1570332751.1520
MEM 31.421875 1570332751.2543
CHLD 0 31.476562 1570332751.2562
CHLD 1 169.578125 1570332751.2562
CHLD 2 121.878906 1570332751.2562
MEM 31.421875 1570332751.3570
CHLD 0 31.476562 1570332751.3589
CHLD 1 170.828125 1570332751.3589
CHLD 2 121.878906 1570332751.3589
MEM 31.421875 1570332751.4597
CHLD 0 31.476562 1570332751.4617
CHLD 1 171.941406 1570332751.4617
CHLD 2 121.878906 1570332751.4617
MEM 31.421875 1570332751.5624
CHLD 0 31.476562 1570332751.5644
CHLD 1 173.140625 1570332751.5644
CHLD 2 121.878906 1570332751.5644
MEM 31.421875 1570332751.6653
CHLD 0 31.476562 1570332751.6683
CHLD 1 174.328125 1570332751.6683
CHLD 2 121.878906 1570332751.6683
MEM 31.421875 1570332751.7691
CHLD 0 31.476562 1570332751.7711
CHLD 1 175.433594 1570332751.7711
CHLD 2 121.878906 1570332751.7711
MEM 31.421875 1570332751.8718
CHLD 0 31.476562 1570332751.8738
CHLD 1 176.765625 1570332751.8738
CHLD 2 121.878906 1570332751.8738
MEM 31.421875 1570332751.9745
CHLD 0 31.476562 1570332751.9765
CHLD 1 177.859375 1570332751.9765
CHLD 2 121.878906 1570332751.9765
MEM 31.421875 1570332752.0768
CHLD 0 31.476562 1570332752.0788
CHLD 1 179.039062 1570332752.0788
CHLD 2 121.878906 1570332752.0788
MEM 31.421875 1570332752.1795
CHLD 0 31.476562 1570332752.1815
CHLD 1 180.289062 1570332752.1815
CHLD 2 121.878906 1570332752.1815
MEM 31.421875 1570332752.2822
CHLD 0 31.476562 1570332752.2842
CHLD 1 181.414062 1570332752.2842
CHLD 2 121.878906 1570332752.2842
MEM 31.421875 1570332752.3849
CHLD 0 31.476562 1570332752.3869
CHLD 1 182.601562 1570332752.3869
CHLD 2 121.878906 1570332752.3869
MEM 31.421875 1570332752.4877
CHLD 0 31.476562 1570332752.4897
CHLD 1 183.882812 1570332752.4897
CHLD 2 121.878906 1570332752.4897
MEM 31.421875 1570332752.5906
CHLD 0 31.476562 1570332752.5926
CHLD 1 185.070312 1570332752.5926
CHLD 2 121.878906 1570332752.5926
MEM 31.421875 1570332752.6933
CHLD 0 31.476562 1570332752.6953
CHLD 1 186.320312 1570332752.6953
CHLD 2 121.878906 1570332752.6953
MEM 31.421875 1570332752.7962
CHLD 0 31.476562 1570332752.7982
CHLD 1 187.632812 1570332752.7982
CHLD 2 121.878906 1570332752.7982
MEM 31.421875 1570332752.8989
CHLD 0 31.476562 1570332752.9009
CHLD 1 188.761719 1570332752.9009
CHLD 2 121.878906 1570332752.9009
MEM 31.421875 1570332753.0017
CHLD 0 31.476562 1570332753.0047
CHLD 1 190.160156 1570332753.0047
CHLD 2 121.878906 1570332753.0047
MEM 31.421875 1570332753.1054
CHLD 0 31.476562 1570332753.1074
CHLD 1 191.347656 1570332753.1074
CHLD 2 121.878906 1570332753.1074
MEM 31.421875 1570332753.2083
CHLD 0 31.476562 1570332753.2103
CHLD 1 192.535156 1570332753.2103
CHLD 2 121.878906 1570332753.2103
MEM 31.421875 1570332753.3111
CHLD 0 31.476562 1570332753.3130
CHLD 1 193.785156 1570332753.3130
CHLD 2 121.878906 1570332753.3130
MEM 31.421875 1570332753.4133
CHLD 0 31.476562 1570332753.4153
CHLD 1 194.410156 1570332753.4153
CHLD 2 121.878906 1570332753.4153
MEM 31.421875 1570332753.5160
CHLD 0 31.476562 1570332753.5180
CHLD 1 195.675781 1570332753.5180
CHLD 2 121.878906 1570332753.5180
MEM 31.421875 1570332753.6187
CHLD 0 31.476562 1570332753.6207
CHLD 1 196.898438 1570332753.6207
CHLD 2 121.878906 1570332753.6207
MEM 31.421875 1570332753.7215
CHLD 0 31.476562 1570332753.7245
CHLD 1 198.308594 1570332753.7245
CHLD 2 121.878906 1570332753.7245
MEM 31.421875 1570332753.8252
CHLD 0 31.476562 1570332753.8272
CHLD 1 199.621094 1570332753.8272
CHLD 2 121.878906 1570332753.8272
MEM 31.421875 1570332753.9279
CHLD 0 31.476562 1570332753.9299
CHLD 1 200.808594 1570332753.9299
CHLD 2 121.878906 1570332753.9299
MEM 31.421875 1570332754.0302
CHLD 0 31.476562 1570332754.0322
CHLD 1 202.082031 1570332754.0322
CHLD 2 121.878906 1570332754.0322
MEM 31.421875 1570332754.1329
CHLD 0 31.476562 1570332754.1349
CHLD 1 203.394531 1570332754.1349
CHLD 2 121.878906 1570332754.1349
MEM 31.421875 1570332754.2356
CHLD 0 31.476562 1570332754.2376
CHLD 1 204.621094 1570332754.2376
CHLD 2 121.878906 1570332754.2376
MEM 31.421875 1570332754.3384
CHLD 0 31.476562 1570332754.3404
CHLD 1 205.527344 1570332754.3404
CHLD 2 121.878906 1570332754.3404
MEM 31.421875 1570332754.4412
CHLD 0 31.476562 1570332754.4432
CHLD 1 205.652344 1570332754.4432
CHLD 2 121.878906 1570332754.4432
MEM 31.421875 1570332754.5439
CHLD 0 31.476562 1570332754.5459
CHLD 1 205.839844 1570332754.5459
CHLD 2 121.878906 1570332754.5459
MEM 31.421875 1570332754.6462
CHLD 0 31.476562 1570332754.6482
CHLD 1 205.957031 1570332754.6482
CHLD 2 121.878906 1570332754.6482
MEM 31.421875 1570332754.7489
CHLD 0 31.476562 1570332754.7509
CHLD 1 206.394531 1570332754.7509
CHLD 2 121.878906 1570332754.7509
MEM 31.421875 1570332754.8517
CHLD 0 31.476562 1570332754.8537
CHLD 1 206.707031 1570332754.8537
CHLD 2 121.878906 1570332754.8537
MEM 31.421875 1570332754.9544
